upstream_regulator,logratio,type,activation_state,activation_zscore,pvalue_overlap,target_molecules,mechanistic_network
miR-1224-3p (miRNAs w/seed CCCACCU),NA,mature microrna,NA,-0.305,0.00188,"ADAMTS1,ADAMTS14,ADARB1,ADHFE1,AIF1L,ANGPTL1,APBB2,ASIC2,C20orf96,CCDC69,CDKN2B,CDON,CFLAR,E2F7,GDNF,GPC2,GPR68,GPRC5B,HSPA12B,JADE1,LBH,LEP,LIF,LRRTM2,MAFF,MYADM,N4BP3,NCOA3,NR4A1,PER1,PLPPR4,PPP1R1B,PRSS35,RND2,SAMD12,SAMD4A,SCD,SEMA3A,SLC16A12,SLC19A3,SLC22A23,SLC7A6,SORT1,TLDC2,TMEM100,TMEM217,TMEM37,TNFSF13B,ULK2,WFDC1,ZNF135",NA
MAP2K5,NA,kinase,NA,1.236,0.00189,"CYP24A1,KLF5,NR4A1,NR4A3",103 (7)
PER1,2.981,other,NA,-1.982,0.00189,"DBP,LEP,PER1,PER3",144 (8)
JUN/JUNB/JUND,NA,group,NA,NA,0.00189,"BDKRB1,COL7A1,CYR61,HMOX1",NA
miR-3921 (and other miRNAs w/seed CUCUGAG),NA,mature microrna,NA,-1.343,0.00189,"ACSL1,AIF1L,ATF3,BMPER,CD82,COMP,DAPK2,DUSP5,EGR2,ERP27,FAM107A,FAM20A,FAM43A,KANK4,MCTP1,NEDD9,NEK11,OSBPL3,P2RX7,PCYT2,PLEKHG4,SAMD12,SAMD4A,SCN7A,SEPT4,SLC14A1,SYNPO2,TJP2,USP53,VGLL3,ZNF135",NA
PPARGC1A,NA,transcription regulator,NA,0.273,0.0019,"CEBPD,COMP,DIO2,FABP4,FNDC5,IRS2,NPC1L1,PDK4,PNPLA2,SCD,SOCS1,SPARCL1,ST8SIA1,VEGFA",219 (19)
miR-188-3p (miRNAs w/seed UCCCACA),NA,mature microrna,NA,-1.098,0.00192,"ACVR1C,ADAM12,ARHGEF28,CCDC69,CXCL12,DKK2,EFR3B,ENDOD1,EOGT,FABP4,FAM196A,FAM46A,FAM46C,FGF14,FZD5,GALNT15,GLUL,GPR68,KLHDC7B,LGR4,LMOD1,MMP15,MOB3B,NCOA3,NEDD9,PLCXD3,PLPPR4,PLXDC1,S1PR1,SAMD12,SCD,SCN7A,SLC22A23,SLC38A2,STARD7,STON1,SUN2,SYNPO2,TENM4,TJP2,TMEM35A,WASF3,ZDHHC23",NA
FASLG,NA,cytokine,NA,-0.069,0.00197,"CFLAR,EGR2,TGFB2,TNFRSF11B,VEGFA",207 (18)
PTGS1,NA,enzyme,NA,-0.44,0.00197,"ATF3,FABP4,PLA2G4A,STC1,VEGFA",219 (19)
LPXN,NA,transcription regulator,NA,NA,0.00198,"ACTA2,TAGLN",NA
ACS84,NA,chemical reagent,NA,NA,0.00198,"GCLM,HMOX1",61 (5)
CYP2C9,NA,enzyme,NA,NA,0.00198,"DUSP1,HBA1/HBA2",NA
anastrozole,NA,chemical drug,NA,NA,0.00198,"TNFRSF11B,VCAM1",NA
tempo,NA,chemical reagent,NA,NA,0.00198,"CFLAR,HMOX1",95 (7)
PQQ cofactor,NA,chemical - endogenous non-mammalian,NA,NA,0.00198,"HMOX1,NGF",NA
dobutamine,NA,chemical drug,NA,NA,0.00198,"HMOX1,LEP",NA
miR-3944-3p (miRNAs w/seed UCGGGCU),NA,mature microrna,Inhibited,-3.358,0.002,"AGTRAP,ANPEP,APBB2,AXIN2,BATF3,CHDH,CITED4,COL4A3,DIO2,GLS,IRS2,KCNK15,LGI3,LOC102724788/PRODH,MAFF,RAPGEF5,RASSF7,VGLL3",NA
miR-330-5p (and other miRNAs w/seed CUCUGGG),NA,mature microrna,NA,-1.0,0.00202,"ABAT,ALOX15B,AMOT,AQP3,ARHGEF28,ARSI,C7,C9orf3,CCR1,CFLAR,COL4A1,COL4A4,CORO2B,DAPK2,DDAH1,EBF1,EDA,EGR3,EPHB3,FAIM2,FAM105A,FAM107A,FGFR2,FZD5,GDNF,GGT5,GPRC5B,GRIN2A,HSPA12B,JADE1,KCNS1,LEP,LMOD1,MEST,MPP3,N4BP3,NAV3,NKD1,OSBPL3,PER3,PKIA,PPP1R1B,RAB11FIP1,SAMD12,SEPT4,SLC38A2,SLC6A6,SLC7A14,SMTNL2,SSH2,TRPV6,WFDC1,ZHX3",NA
miR-4493 (miRNAs w/seed GAAGGCC),NA,mature microrna,NA,-0.933,0.00206,"ACSL1,ADARB1,BDH1,CFLAR,CORIN,EMID1,FAM107A,GCHFR,GDNF,GPR68,GRIN2A,HMOX1,HSPA6,IRS2,ITGA10,LDB2,LHFPL2,MAP3K8,N4BP3,NEGR1,NPAS2,PER3,PKNOX2,PPTC7,PXDC1,RAP2B,RASD2,RGL1,SPINT2,SSH2,SUN2,TENM4,TMEM119,XDH,ZCCHC6,ZSCAN31",NA
tunicamycin,NA,chemical - endogenous non-mammalian,NA,1.157,0.00207,"ATF3,ATP2A2,CEBPD,COL1A1,GADD45B,HMOX1,LMF1,MORF4L2,SCD,TRPC6,VCAM1,VEGFA,WARS",195 (17)
ADORA2A,NA,g-protein coupled receptor,NA,1.03,0.0021,"ATP2A2,DUSP1,EGR2,HBA1/HBA2,HMOX1,NR4A1,NR4A3,PPP1R1B,TSC22D3,VEGFA",153 (17)
PDX1,NA,transcription regulator,NA,1.48,0.00211,"ATF3,ATP2A2,COL1A1,DUSP5,GCH1,GCLM,IRS2,KLF6,PHGDH,SLC6A6,TRPC6,TSPAN8",NA
miR-1270 (and other miRNAs w/seed UGGAGAU),NA,mature microrna,NA,-0.669,0.00212,"ABHD5,ARHGEF2,B3GALT2,BDKRB2,CALCOCO2,CCR1,CIT,ERP27,FOXO1,IFI44L,KLHL42,LEP,LMO3,MCHR1,NAMPT,PDZD2,PKIA,RAP2B,SORL1,STEAP2,STX11,SUN2,TNFSF13B,TUBB,UBASH3B,ZNF135",NA
miR-196a-5p (and other miRNAs w/seed AGGUAGU),NA,mature microrna,NA,-0.748,0.00212,"ADAMTS5,ARHGAP28,CDKN2B,COL1A1,CORIN,CPM,CTPS1,DOK6,E2F7,EBF1,FAM160A1,FGF14,FOXO1,GCNT4,GDNF,IGDCC4,KCNE3,MAMDC2,MAOA,NEDD4L,PPP1CB,RAPGEF5,RASL11B,RGS6,RSPO2,RTKN2,SEMA3A,STEAP2,SYNPO2",NA
miR-3058-5p (and other miRNAs w/seed CAGCCAC),NA,mature microrna,NA,-0.373,0.00213,"AMPH,C10orf10,C9orf3,CAMK2A,CCDC34,CHDH,CIT,CLIC2,CTPS1,DAAM2,DOK6,ENC1,ENDOD1,ERRFI1,FAIM2,FAM198B,FGF14,FLRT3,FNDC5,GALM,GCHFR,GPRC5B,IMPA2,KCNE3,LBH,LGR4,MEX3A,MOB3B,NUAK1,NYNRIN,PLEKHG4,PPTC7,RASL11B,RHOB,SCD,SLC14A1,SLC7A5,STON1,STUM,UBASH3B,ZC2HC1C,ZCCHC6,ZHX3",NA
miR-4766-3p (miRNAs w/seed UAGCAAU),NA,mature microrna,NA,-0.679,0.00214,"ADAT2,B3GALT2,COL11A1,DDAH1,DKK2,DOK6,GPR37,HIGD1A,HSPA4L,IL12A,KCNS1,LGR4,NAV3,NEGR1,NR4A3,OTOGL,RNF144B,RSPO2,SORBS1,STEAP2,TGFB2,VEGFA",NA
miR-293-5p (and other miRNAs w/seed CUCAAAC),NA,mature microrna,NA,-0.843,0.00217,"ADORA1,AFAP1L1,ARHGAP29,AXIN2,CITED2,COL1A1,CSRNP3,CUBN,ENDOD1,EVI2A,FAM46C,FGD4,HMGB2,HSPA2,KLF15,NR4A1,NUAK1,PAIP2B,PKNOX2,PPTC7,SAMD12,SIPA1L2,STEAP4,TAGLN,TENM4,TGFB2",NA
miR-548q (miRNAs w/seed CUGGUGC),NA,mature microrna,NA,-0.737,0.00217,"ABHD5,ADHFE1,AP1M1,BDKRB2,C4orf46,CDKN2B,CREB5,DAPK2,EBF1,EVI2A,FRZB,GALM,HIF3A,KCNK6,KLF5,LDB2,LRRC4,MAP3K8,N4BP3,NR4A3,PDPN,PLCXD3,RAB11FIP1,RASD2,RGL1,SPARCL1,STUM,TMEM119,TSPAN11",NA
BRD4,0.456,kinase,NA,0.412,0.00218,"ABLIM1,ADAT2,BDH1,CCR1,CDKN2B,HMOX1,PRDM1,PTPN22",NA
FGF8,NA,growth factor,NA,0.059,0.00218,"AIF1L,CITED4,DUSP23,ERRFI1,FGFR2,NOG,RTKN2,THBS1",NA
carbonyl cyanide m-chlorophenyl hydrazone,NA,chemical toxicant,NA,1.633,0.00219,"ALOX5AP,DUSP5,ERRFI1,GDF15,NAMPT,OLAH",107 (7)
MAF,NA,transcription regulator,NA,0.025,0.00219,"ANPEP,GCLM,IL12A,NUAK1,PRDM1,VCAM1",115 (7)
IKZF1,NA,transcription regulator,NA,1.644,0.00223,"BLNK,C1QTNF1,DNAJC6,DNM1,EBF1,FOXO1,LHFPL2,NFE2,POU2F2,TMEM119",NA
miR-297a-5p (and other miRNAs w/seed UGUAUGU),NA,mature microrna,NA,-0.582,0.00223,"ADH1B,ARHGAP28,CAMK4,CCDC71L,CPM,DIO2,ERRFI1,GFPT2,KANK4,MMP7,MOB3B,P2RY14,PIK3R1,PLA2G4A,PLXDC1,PSAT1,RNF144B,SEMA6D,SIPA1L2,STUM,THBS1,VASH2,VEGFA",NA
TSC1,NA,other,NA,1.477,0.00224,"EGR2,FOXO1,FOXO3,HMOX1,IRS2",172 (16)
miR-128-3p (and other miRNAs w/seed CACAGUG),NA,mature microrna,NA,0.387,0.00226,"ABHD5,ACTA2,ACVR1C,ADAMTS5,AIF1L,ARHGAP28,ARMC8,CACNB2,CAMK2A,CITED2,CRB1,DDAH1,DKK2,DUSP5,E2F7,EGR3,EPHB2,ERP27,FGF14,FLRT3,FOXO1,G0S2,GFPT2,HMOX1,LBH,LEP,LYPD3,MMD,NAV3,NFIL3,PAIP2B,PDPN,PHC2,PHGDH,PIK3R1,PKIA,RAB11FIP1,RGS6,RND2,RPS6KA5,SAMD12,SCD,SEMA6D,SH3GL3,SLC22A23,SLC39A10,SLC5A6,SLC6A6,SLC7A14,SORL1,SOWAHA,TEX2,TJP2,TPPP,VASH2,VGLL3",NA
IPMK,0.601,kinase,Activated,2.0,0.00226,"ACTA2,CYR61,PDLIM5,PER1",97 (7)
MAPK13,NA,kinase,NA,1.067,0.00226,"CITED2,IL12A,MAP3K8,VEGFA",128 (7)
FGF4,NA,growth factor,NA,-1.982,0.00226,"FOXO1,FOXO3,SCD,VEGFA",172 (13)
miR-4502 (and other miRNAs w/seed CUGAUGA),NA,mature microrna,NA,0.157,0.00226,"ADAMTS1,AHCTF1,ALPK3,CNIH3,GPC2,GPM6B,GRIN2A,HSD17B6,IQCA1,KCNQ3,MAOA,NEK11,PAIP2B,PDK4,PLXDC1,SAMD4A,SEMA3A,TGFB2,TMEM200A,ULK2,VCAM1,ZHX3",NA
miR-10a-5p (and other miRNAs w/seed ACCCUGU),NA,mature microrna,NA,-0.849,0.00227,"ACKR2,ADAT2,ARSI,BDH1,CCDC71L,CFLAR,COL4A4,CSRNP3,CYP24A1,DUSP5,E2F7,EPHA5,FAM105A,FAM196A,FOXO3,GLS,IGDCC4,INHBB,INHBE,JADE1,KANK4,KCNQ3,LRRC17,METTL7A,MOB3B,NEGR1,NR4A3,PRKCE,SCARF1,SMTNL2,ST8SIA1,SUN2,TMEM119,TNFRSF11B",NA
miR-3074-5p (miRNAs w/seed UUCCUGC),NA,mature microrna,NA,-1.244,0.00231,"ADAT2,ADH1B,ADHFE1,AFAP1L1,ASB5,CHST7,CIT,CLUL1,CRABP2,CXCL12,DAPK2,FGF14,FOXO1,INPP5D,KCNK6,LRRC4,NR4A3,P2RY14,PDPN,PREB,RASEF,RASL11B,RNF144B,SEMA3A,SORT1,SYN3,SYNPO2,TGFBR2,THBS1,TMEM217,TMEM26",NA
miR-291a-3p (and other miRNAs w/seed AAGUGCU),NA,mature microrna,NA,-1.254,0.00235,"ABCA10,ACVR1C,ADAT2,AP1M1,APBB2,ARHGAP29,CILP,CORIN,CORO2B,CREB5,CXCL12,CYTH3,DAPK2,E2F7,ENDOD1,EPHA5,FAM46C,FGD4,FOXO3,GALNT15,GLS,INHBB,LIF,LMO3,MEX3A,NCOA3,NR4A3,PDLIM5,PHC2,PIK3R3,PLCXD3,RAB11FIP1,RAPGEF5,RGL1,RPS6KA5,SAMD12,SLC14A1,SLC16A12,SLC22A23,SLC6A9,STX11,SYDE2,SYNPO2,TGFBR2,TMEM100,TRPV6,UBASH3B,USP53,VEGFA",NA
sulindac sulfide,NA,chemical drug,NA,0.757,0.00241,"ATF3,GDF15,MMP7,MYOZ2,PIK3R1,STC1,TUBA4A",NA
PIK3R1,1.435,kinase,NA,0.221,0.00241,"FOXO1,GCH1,HMOX1,IL12A,PIK3R1,VCAM1,VEGFA",172 (17)
miR-4476 (and other miRNAs w/seed AGGAAGG),NA,mature microrna,NA,0.387,0.00242,"ACKR2,ADH1C,C20orf96,C9orf3,CDON,E2F7,FAIM2,FAM63B,FNDC5,FRZB,GALNT15,GPR68,IFI44L,IGDCC4,KCTD12,LFNG,LIF,LMO3,MMD,MOB3B,NR4A3,PHC2,PIEZO2,RAMP3,ROBO1,SEMA6D,SLC7A6,SOX4,SSH2,ST8SIA1,STUM,SYN2,TMEM26,TNIK,XDH,ZSCAN31",NA
capsaicin,NA,chemical drug,Inhibited,-2.415,0.00242,"CAMK2A,GDF15,HMOX1,LEP,TGFB2,TNFRSF11B",228 (20)
miR-4689 (and other miRNAs w/seed UGAGGAG),NA,mature microrna,NA,-0.62,0.00243,"ADAM12,ALOX15B,APBB2,ARHGEF28,C7,CCDC69,CD302,CENPP,CFLAR,CIT,CREB5,DDAH1,EFR3B,ENDOD1,EPHB6,FAM171B,FKBP5,GDF5,GRIN2A,MYO16,NID1,NPC1L1,PCDHGC5,PLCG2,S1PR1,STEAP2,TGFB2,TMEM217,TRNP1,TSLP",NA
SPP1,NA,cytokine,NA,-0.976,0.00243,"BRCA1,CD163,COL1A1,CXCL12,FGFR2,HMOX1,MMP7,PIK3R1,SOX9,SPARCL1,TGFBR2,VEGFA",245 (19)
miR-4495 (miRNAs w/seed AUGUAAA),NA,mature microrna,NA,-0.557,0.00245,"AHCTF1,CH25H,DOK6,LMO3,LRRTM2,P2RY14,PIEZO2,PPP1CB,RPS6KA5,RTKN2,SLC16A12,STEAP4,TGFBR2,TNFSF13B,ZCCHC5",NA
CCR9,NA,g-protein coupled receptor,NA,NA,0.00245,"FAM43A,GLS,TPPP3",NA
vismodegib,NA,chemical drug,NA,NA,0.00245,"SOX9,TNFRSF11B,VEGFA",NA
CHRM3,NA,g-protein coupled receptor,NA,NA,0.00245,"CYR61,HMOX1,LEP",166 (14)
atorvastatin,NA,chemical drug,NA,0.332,0.00246,"COL1A1,CYR61,DMC1,DUSP1,GADD45B,HBA1/HBA2,HMOX1,LEP,NPC1L1,NR4A1,RHOB,VCAM1,VEGFA",218 (20)
N-acetyl-L-cysteine,NA,chemical drug,NA,-0.016,0.00246,"ACTA2,CFLAR,COL1A1,CYR61,FOXO3,GCLM,HMOX1,IL12A,LEP,RHOB,TGFBR2,VCAM1,VEGFA",215 (21)
H89,NA,chemical - kinase inhibitor,NA,-1.054,0.00249,"DUSP1,EGR2,EGR3,GDNF,HMOX1,NFIL3,NR4A1,TNFAIP6,VCAM1,VEGFA",213 (20)
miR-3616-3p (miRNAs w/seed GAGGGCA),NA,mature microrna,NA,-0.507,0.0025,"ACSS1,ADRA2A,ARHGAP42,ARSI,BMPER,C1QTNF1,CCDC34,CD82,CILP,COL4A3,DAAM2,DKK2,EFR3B,EPHB2,FNDC5,FZD8,GLUL,GPX3,HIF3A,IL34,IRS2,JADE1,KCNQ3,KCNS1,LMOD1,MAFF,MCTP1,MMP15,NAMPT,P2RY14,PCYT2,PRSS35,ROBO1,SLC6A9,SORT1,SSH2,ST8SIA1,SULT1C2,SYN2,TIMP4,TJP2,TMEM26,VEGFA,WARS,ZC2HC1C,ZHX3,ZNF135",NA
CUL4B,NA,other,NA,NA,0.00253,"AXIN2,COL4A1,FOXO3,HSPB3,SOCS1",NA
bortezomib,NA,chemical drug,NA,1.395,0.00253,"BRCA1,CFLAR,CXCL12,DNAJB4,FOXO1,GADD45B,GDF15,HSPA7,IL12A,KLF9,LIF,PRDM1,SERPINA3,VCAM1",207 (18)
miR-3082-5p (and other miRNAs w/seed ACAGAGU),NA,mature microrna,Activated,2.519,0.00254,"ALOX15B,CDON,CES3,CHSY3,CILP,CLIC2,COL1A1,ENC1,ERP27,GPR68,INHBE,KANK4,NEDD4L,NOV,PER3,PLPPR4,PPP1CB,PSAT1,RPS6KA5,SLC6A6,SORL1,STEAP2,SYN3,TNFSF15,UBASH3B,WARS,ZNF135",NA
miR-1293 (and other miRNAs w/seed GGGUGGU),NA,mature microrna,NA,-0.067,0.00254,"ALPK3,BDKRB2,CACNB2,CD302,CENPP,CES3,DIO2,DNAJC6,EGR2,FAM46A,FKBP5,FOXO3,FSTL3,GCNT4,HPS5,HSPA12B,IFI44L,KCNE3,KCNK15,KCTD12,MCHR1,MMP15,NOG,NRXN3,NUAK1,PCYT2,PHGDH,PKNOX2,RGS6,RND2,RTKN2,S1PR1,SLC22A23,SYDE2,THBS1,TM4SF1,TMEM217,TSPAN11,ULK2,VEGFA,WNT2,YIF1B,ZNF821",NA
miR-181b-1-3p (and other miRNAs w/seed UCACUGA),NA,mature microrna,NA,-1.28,0.00254,"AFAP1L2,ANXA4,ARHGAP42,CCDC69,CFLAR,CORIN,CXCL12,CYR61,FAM105A,FGFR2,FOXO3,GPR68,HIGD1A,HMGB2,KCNQ3,KCNS1,LMCD1,MAMDC2,MEX3B,MOB3B,NAMPT,NAV3,NOV,PLCXD3,PLPPR4,SCN7A,SOWAHA,SYNPO2,TMEM26,TNFRSF11B,TRPC6,ZCCHC6",NA
miR-491-3p (miRNAs w/seed UUAUGCA),NA,mature microrna,NA,0.278,0.00255,"ACKR4,ADAM12,ADAMTS5,AOX1,ARHGAP42,B3GALT2,CTTNBP2,CXCL12,FRK,FST,GRIN2A,HIGD1A,HSPA2,ING2,ITGA10,MEST,MMD,MTSS1,NAMPT,NOV,PTPN22,SAMD12,SLC7A14",NA
miR-3914 (miRNAs w/seed AGGAACC),NA,mature microrna,NA,-1.552,0.00258,"ABLIM1,COL4A4,DDAH1,ENC1,ERRFI1,INPP5A,LHFPL2,MEX3B,MMP15,MORF4L2,MYADM,NCOA3,NEK10,NOG,PDPN,PRR5L,RPS6KA5,RSPO2,SCD,SLC22A23,STOM,SYN3,TGFBR2,TMEM100,TNFSF13B,TRPC6",NA
PRKCE,-1.103,kinase,NA,-0.522,0.00261,"ACTA2,ADAM12,CDON,CYR61,PRKCE,VCAM1,VEGFA",201 (20)
ritonavir,NA,chemical drug,NA,0.577,0.00263,"AXIN2,FABP4,HMMR,LEP,NEIL3,SCD,SLC39A10,TSC22D3,VCAM1,VEGFA",220 (22)
FANCC,NA,other,NA,NA,0.00266,"CXCL12,GDF15,IFI44L,MMP7,NUAK1,PTX3",194 (13)
miR-3934-5p (miRNAs w/seed CAGGUGU),NA,mature microrna,NA,-1.85,0.00267,"BDKRB2,BRCA1,CACNB2,CARMIL1,CH25H,FAIM2,FAM20A,FAM46B,FBN2,FOXO3,GPM6B,HIGD1A,HSPA2,MEX3B,MOB3B,PKIA,PRDM1,PTPN22,RAPGEF5,RSPO1,SIGLEC15,SLC19A3,SLC22A23,SLC7A6,SYNPO2,TMEM217,TPPP",NA
miR-4773 (miRNAs w/seed AGAACAG),NA,mature microrna,NA,0.211,0.00267,"ACVR1C,AHCTF1,ANXA4,ARHGAP28,CCR1,CFLAR,CILP,DNM1,FAM63B,FGD4,FLRT3,FRZB,KCNQ3,LBH,LRRN1,MYOZ2,NEIL3,PRKCE,PSAT1,RHOJ,SLC14A1,SPARCL1,SPTBN4,TCEAL4,ZSCAN31",NA
ALDH2,NA,enzyme,NA,1.067,0.00268,"GCLM,PHGDH,PSAT1,SLC7A5",NA
"9Z,11E-octadecadienoic acid",NA,chemical - endogenous non-mammalian,NA,0.0,0.00268,"EBF1,IL12A,SORBS1,THBS1",179 (12)
estrogen,NA,chemical drug,NA,-1.094,0.0027,"BRCA1,COL1A1,CXCL12,CYR61,DUSP1,LIF,NAMPT,NCOA3,NFIL3,NR4A1,PTX3,S1PR1,SERPINA3,TGFB2,TNFRSF11B,VEGFA",252 (20)
miR-2355-3p (miRNAs w/seed UUGUCCU),NA,mature microrna,NA,-0.431,0.00273,"AASS,AMOT,ANPEP,ARHGEF28,B3GALT2,BDKRB2,C1QTNF1,CCDC34,COMP,CREB5,CSRNP3,CTTNBP2,ENDOD1,ENPP1,FGD4,GFPT2,GLS,HMMR,MYADM,PDLIM5,PKDCC,PLPPR4,PLXDC1,PRSS35,ST8SIA1,TNIK,YPEL4",NA
TSC2,NA,other,NA,-0.075,0.00273,"ATF3,B3GALT2,FAM107A,HMOX1,IRS2,PDK4,SCD,SLC14A1,TAGLN",169 (17)
black raspberry extract,NA,chemical drug,NA,NA,0.00273,"AOX1,DUSP5,FST,HMMR,HMOX1,INHBB,KLF5,PHGDH,PRKG2",NA
miR-4513 (and other miRNAs w/seed GACUGAC),NA,mature microrna,Inhibited,-3.314,0.00275,"ADAMTS5,ARHGEF28,C10orf10,CFLAR,CHST7,CYP24A1,DDAH1,EBF1,FAM198B,GCNT4,HPS5,KCNQ3,NEDD9,NUAK1,PDZD2,SGCD,ST8SIA1,STX11,SYN2,TCEAL3,TSPAN8,ULK2",NA
KDM5B,NA,transcription regulator,NA,-0.548,0.00277,"BRCA1,FGFR2,FST,HMMR,MT1E,MT1X,NEDD9,SAT1,SOX9,TGFB2",NA
miR-553 (miRNAs w/seed AAACGGU),NA,mature microrna,Inhibited,-2.617,0.0028,"CTTNBP2,EOGT,FAM20A,FGD4,FOXO3,GPM6B,INPP5A,NR4A1,NRXN3,PDPN,SLC38A2,SSH2,WNT2",NA
miR-626 (and other miRNAs w/seed GCUGUCU),NA,mature microrna,NA,-0.233,0.00283,"APCDD1,ATP2A2,BMPER,C4orf46,CCDC69,CDON,CENPP,CHSY3,COL4A1,CORIN,CTPS1,GPAT3,GPM6B,INPP5A,KIAA1755,LIF,LRRC4,MAP3K8,MARCH10,NCKAP5,NR4A3,PRDM1,RAPGEF5,SEMA6D,SLC14A1,SOX9,STEAP4,TENM4,TNFSF13B,TNIK",NA
miR-4474-3p (miRNAs w/seed UGUGGCU),NA,mature microrna,NA,-0.171,0.00283,"ADARB1,ADAT2,ANGPTL1,ARHGEF2,ATF3,BRCA1,CFLAR,CSRNP3,CXCL12,DKK2,EDA,ENDOD1,EPHA5,FIBIN,FNDC5,FOXO1,ITGA10,KANK4,LRRC4,MEST,PIK3R1,PRDM1,PRSS35,RNF144B,RSPO2,RTKN2,SAMD12,SLC38A2,SORT1,SOX4,SYN2,SYNPO2,TM4SF1,TMEM119,TMEM47",NA
miR-943 (miRNAs w/seed UGACUGU),NA,mature microrna,NA,-0.38,0.00284,"AFAP1L1,ARHGAP42,ARHGEF28,ASIC2,ATF3,B3GALT2,CSRNP3,DAAM2,EPHA4,EPHA5,FAM46B,FGD4,FRK,HRCT1,IFI44L,INHBB,NEDD4L,NEXN,PLPPR4,SAMD12,SGCD,STUM,ZSCAN31",NA
rasagiline,NA,chemical drug,NA,-0.647,0.00285,"EGR3,GDNF,NGF,PIK3R1,PRKCE",NA
conjugated linoleic acid,NA,chemical drug,NA,NA,0.00285,"CBS/CBSL,DUSP1,GDF15,LEP,TNFRSF11B",138 (11)
miR-4768-5p (and other miRNAs w/seed UUCUCUC),NA,mature microrna,NA,-0.963,0.0029,"ARHGAP28,CARMIL1,CBS/CBSL,CCIN,CFLAR,EGR3,ENC1,ENPP1,EOGT,FAM105A,FAM171B,FAM46A,GALNT15,GCLM,GCNT4,GDNF,KCNK6,KLF5,LDB2,MCTP1,MEX3A,NEDD4L,NUAK1,P2RY14,PHGDH,SEMA3A,SYNPO2,TLDC2,TNIK,UBASH3B",NA
corticosterone,NA,chemical - endogenous mammalian,Activated,2.236,0.0029,"BDKRB2,DIO2,FKBP5,GLUL,KLF9,LEP,MAOA,PDK4,PNPLA2",182 (11)
oblimersen,NA,biologic drug,NA,1.633,0.00293,"ATF3,CEBPD,DUSP1,GADD45B,IFIT1,MAFF",NA
diphenyleneiodonium,NA,chemical reagent,NA,1.054,0.00293,"ACTA2,COL1A1,HMOX1,PDE5A,TRPC6,VEGFA",197 (19)
SERPINF1,NA,other,NA,-0.577,0.00293,"AXIN2,G0S2,GDNF,NGF,THBS1,TNFRSF11B",169 (11)
miR-4423-5p (miRNAs w/seed GUUGCCU),NA,mature microrna,NA,-0.574,0.00295,"ABHD5,ACKR2,ACSS1,ADORA1,ARMC8,CRB1,EPHA5,FAM107A,FAM20A,FBN2,GPM6B,GRIN2A,IFI44L,KALRN,KCNK6,KLF9,MTSS1,NEDD4L,PRKCE,RND2,SOX9,TMEM119,TPPP,ZCCHC5,ZHX3",NA
miR-3150b-3p (and other miRNAs w/seed GAGGAGA),NA,mature microrna,NA,-0.416,0.00296,"ADAT2,APCDD1,C10orf10,C9orf3,CCDC34,CCDC69,CD302,CFLAR,CORO2B,CREB5,DDAH1,DKK2,EFR3B,ENDOD1,FAIM2,FIBIN,FRZB,GDF5,GRIN2A,HIF3A,KLF9,LFNG,LGI3,MEST,NEDD9,NID1,PRKCE,RASD2,RND2,S1PR1,SEPT4,SPTBN4,SSH2,STC1,STEAP2,SYN2,TENM4,TMEM26,TNFRSF11B,TRNP1",NA
miR-1233-3p (miRNAs w/seed GAGCCCU),NA,mature microrna,NA,-0.463,0.00299,"AIF1L,ALPK3,AXIN2,C1QTNF1,CHDH,COMP,CORO6,CSRNP3,DAAM2,EFR3B,FAM20A,FAM46B,FAM46C,GDF15,GRAMD4,GRIN2A,IL34,ITGA10,KCNK15,KLHDC7B,LMOD1,MAMDC2,MAOA,MXRA5,PCDHGC5,PCYT2,PIK3R1,RCOR2,RGS6,RNF144B,ROBO1,SLC7A6,STUM,SYN2,SYN3,SYNPO2,TJP2,ULK2",NA
miR-646 (miRNAs w/seed AGCAGCU),NA,mature microrna,NA,-0.812,0.00304,"ADAT2,ADRA2A,AHCTF1,ARHGAP28,ASB5,C9orf3,CAMK2A,COL4A1,COL7A1,CYTH3,E2F7,ENC1,ENPP1,FAM160A1,FAM196A,GPM6B,IRS2,KANK1,KLHDC7B,LBH,MAMDC2,NKD1,NOV,NRXN3,PER1,PIFO,PIK3R1,RNF144B,RPS6KA5,SAMD12,SLC39A10,SYDE2,TNFSF13B,TPPP3,TSC22D1,WARS,ZCCHC5,ZNF135",NA
IRAK4,NA,kinase,NA,NA,0.00305,"ATF3,ERRFI1,IL12A,LIF,MAP3K8,NR4A1,SOCS1",178 (13)
CD28,NA,transmembrane receptor,NA,1.397,0.00306,"CAMK2A,CFLAR,CH25H,CRB1,EGR2,GPR37,IL12A,IL4I1,LSP1,NAMPT,NR4A1,PRDM1,SLC7A5,SOCS1,STEAP2,STOM,THBS1,TSC22D1",225 (16)
miR-4750-5p (miRNAs w/seed UCGGGCG),NA,mature microrna,Inhibited,-2.734,0.00306,"ADARB1,APBB2,AXIN2,CITED4,COL4A3,DIO2,EGR3,GLS,HIF3A,IRS2,LGI3,RASD2,RASSF7,SLC7A6,TPPP",NA
